============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 4.9, S_EE = 1.2423, F = 0.2888, χ = 777 / 1500, step_time = 40.4702 s, elapsed_time = 1759.4742 s, estimated_remaining_time = 1812.7916 s
t = 4.95, S_EE = 1.2437, F = 0.2888, χ = 796 / 1500, step_time = 43.5398 s, elapsed_time = 1842.1253 s, estimated_remaining_time = 1860.5466 s
t = 5.0, S_EE = 1.2451, F = 0.2888, χ = 816 / 1500, step_time = 46.645 s, elapsed_time = 1930.0589 s, estimated_remaining_time = 1910.9494 s
t = 5.05, S_EE = 1.2465, F = 0.2887, χ = 835 / 1500, step_time = 51.0483 s, elapsed_time = 2027.0655 s, estimated_remaining_time = 1967.4459 s
t = 5.1, S_EE = 1.2478, F = 0.2887, χ = 856 / 1500, step_time = 46.6408 s, elapsed_time = 2120.8532 s, estimated_remaining_time = 2017.8992 s
t = 5.15, S_EE = 1.2492, F = 0.2887, χ = 877 / 1500, step_time = 48.9324 s, elapsed_time = 2217.4726 s, estimated_remaining_time = 2068.2196 s
t = 5.2, S_EE = 1.2506, F = 0.2886, χ = 899 / 1500, step_time = 50.5981 s, elapsed_time = 2318.1199 s, estimated_remaining_time = 2119.4239 s
t = 5.25, S_EE = 1.252, F = 0.2886, χ = 921 / 1500, step_time = 52.2441 s, elapsed_time = 2423.9831 s, estimated_remaining_time = 2172.4377 s
t = 5.3, S_EE = 1.2534, F = 0.2886, χ = 943 / 1500, step_time = 54.0215 s, elapsed_time = 2534.5013 s, estimated_remaining_time = 2226.5712 s
t = 5.35, S_EE = 1.2548, F = 0.2886, χ = 966 / 1500, step_time = 56.2127 s, elapsed_time = 2649.6447 s, estimated_remaining_time = 2281.6385 s
